amount,address
0, terra122v7xt6n3f5e3xj9ctwcamsp8zs5yzmyffz8la
39704651, terra122zzy804hsxwechr780ec8l2qvm5nm6gxf3hyr
0, terra1236ztcyfmnqeh9vtp897kxme3et2zx2h3j47cf
0, terra12377hxl772al8cea3rzj6vdgzvflpu59gncpws
0, terra1237a8r7qs8ewqwwyycn59tdq9zz2r0s3rlr5r7
626532470, terra123dm0lj2e4e3q0q2suhpzljsr4k4ry75t85j4j
18459913, terra123dnuf6cva7gkx35x8skuawy7ss0zkwnnf8jfs
0, terra123ecfvt264np2my6uwhvqad2ws4n60yhalzgdf
0, terra123hc3m5hdmplk88hzgq6ppl66t6czmcqjknfun
386032094, terra123l5667k2awxsm2hcvgepvlh0fydw36327nw38
12531300, terra123n75aa2a9acvqsvglfzjjd7m3s2vedu8qwxvd
0, terra123nagz85jjkmvttjzmkc2ezfzg38dp93l6kge2
0, terra123t6yhdwya6csjy6nlq3pawu73fp839djgyk70
78200331, terra123umhv2c75zqjsml2clxtxewtlvw00ktzt67mx
0, terra12440pud8fjlc99nh2rtsrvgpej4w0ncapxjucp
0, terra124e2fpe70ztpq5e9mqmugxer96de4hkl9kn7rt
10863454, terra124ep08w7hw865s75hqasjt4wqz0pkazkx7g7cy
2997002, terra124gmma3d6kwc58sx68nt0fgzrnmqcur76mr2f8
0, terra124jvadc4q8vmd5rrzlh6y2qg0eule0tg4pv8wr
26046593, terra124m37n7ktkaw7zggf93qp40x6r49ay0zkwhz7v
0, terra124np9m67qjn3wqev3ase3zcjpuh6kwzwst585t
39978238, terra124pe7857hntyr4n4kfjtv7e2z5p6au0azrj9ac
0, terra124r83fs29ap6j93wp73uvumu4anl6wrrawrnpm
0, terra124r8setl7leswaftyelmcj7vfdxy5e5nknrmj7
0, terra124sffy6y07qm36cptumtg94ur69e7sf85q5fem
0, terra124vhzpdeype5ven2ejvf97kqlhu50xfppfkq3g
424127553, terra124z6n4p88jvllefmt2dhukpm6ghngdgmyy5w9v
15933012, terra1252a37uk4a3swqsxa4mx3kwwezl52u58apwmls
0, terra1252u8yqheu83n4xcdtvt6vt34q68uh2us385de
310366032, terra12552kfph3unx5ls4z5kdkrk0sj0np9hnp5f6ch
0, terra1255etglnpu0ul3jpr4wx3uuakep0cqh97gaxxz
0, terra1259c2xgdfk55kp75eahgc2ck9kn3cvve884ake
1358530014, terra125g0ejk77hxz9g34y6n2l2fpxxgu2tc9udknsw
0, terra125q586q862rmy45n5k2t3cfk462fu7kesxvlr6
18473222, terra125rhzk9zszj79dj36n52n6n44gcpre0u6p0njq
0, terra125wtmwun8csta5kvhe2ddepnl3htrxl5h7fr60
0, terra12629f3upv4ltattegp6tzc7uwssq5wfdy7824f
